,decimalLatitude,decimalLongitude,elevation,date
585,47.34096,8.74965,510.0,2002-05-19 00:00:00
586,46.96275,7.51221,590.0,2002-08-01 00:00:00
588,47.34837,8.71311,457.5,2002-05-19 00:00:00
590,47.34872,8.71755,463.5,2002-05-19 00:00:00
591,46.84127,10.363,1542.5,2002-06-07 00:00:00
592,46.61812,7.26762,1500.0,2002-01-01 00:00:00
593,46.94323,7.65535,900.0,2002-08-22 00:00:00
595,46.6083,10.42583,1360.0,2002-06-24 00:00:00
596,46.80209,7.56868,555.5,2002-01-01 00:00:00
597,46.80196,7.56885,549.5,2002-01-01 00:00:00
598,46.80671,7.57947,544.0,2002-01-01 00:00:00
599,46.80716,7.57922,544.0,2002-01-01 00:00:00
600,46.80719,7.57927,544.0,2002-01-01 00:00:00
601,46.80712,7.5795,544.0,2002-01-01 00:00:00
602,46.8073,7.57908,544.0,2002-01-01 00:00:00
603,47.15287,7.26062,501.5,2002-07-01 00:00:00
604,46.25533,9.03123,325.0,2002-09-05 00:00:00
605,46.34577,7.00998,1409.5,2002-01-01 00:00:00
607,46.83709,6.4977,1124.0,2002-06-01 00:00:00
608,46.78432,7.59785,549.5,2002-01-01 00:00:00
609,46.80807,7.57878,545.0,2002-01-01 00:00:00
610,46.80741,7.57917,544.0,2002-01-01 00:00:00
611,46.8064,7.57891,543.5,2002-01-01 00:00:00
612,46.80763,7.57911,544.0,2002-01-01 00:00:00
613,46.80059,7.58093,546.0,2002-01-01 00:00:00
614,46.80876,7.57866,545.0,2002-01-01 00:00:00
615,47.34745,8.72712,472.5,2002-05-19 00:00:00
617,47.34586,8.73654,492.5,2002-05-19 00:00:00
618,47.38654,8.71813,542.5,2002-05-19 00:00:00
619,47.34784,8.72004,465.0,2002-05-19 00:00:00
622,46.96997,7.47083,548.0,2002-01-01 00:00:00
624,46.9778,7.46387,510.0,2002-01-01 00:00:00
626,46.96592,7.436,576.0,2002-01-01 00:00:00
628,46.6564,7.43792,827.0,2002-10-31 00:00:00
631,47.34771,8.71177,456.5,2002-05-19 00:00:00
632,46.84309,7.33376,600.0,2002-01-01 00:00:00
633,46.94658,7.41184,550.5,2002-01-01 00:00:00
635,47.34491,8.70826,451.0,2002-05-19 00:00:00
636,47.15158,7.01375,750.5,2002-07-17 00:00:00
638,46.82123,9.72187,1410.0,2002-07-12 00:00:00
639,46.71161,9.75831,1335.0,2002-09-08 00:00:00
640,47.10838,8.36284,420.5,2002-01-01 00:00:00
642,47.33237,8.72781,450.0,2002-06-01 00:00:00
643,46.9348,9.78043,1325.0,2002-08-25 00:00:00
644,47.41832,8.87496,725.0,2002-08-23 00:00:00
646,47.41829,8.87537,729.0,2002-08-23 00:00:00
647,47.45564,8.85126,779.5,2002-09-01 00:00:00
648,47.45564,8.85125,780.0,2002-09-18 00:00:00
649,47.20067,8.26941,470.0,2002-01-01 00:00:00
650,47.46403,8.98947,529.0,2002-09-15 00:00:00
651,46.50378,6.7612,688.0,2002-05-01 00:00:00
652,47.13246,9.30859,554.0,2002-07-30 00:00:00
653,47.42997,8.95765,597.0,2002-09-10 00:00:00
654,47.12396,8.22803,571.0,2002-01-01 00:00:00
655,47.4246,8.96168,613.0,2002-08-27 00:00:00
656,47.34096,8.74967,510.0,2002-05-19 00:00:00
657,47.33237,8.72782,445.5,2002-06-01 00:00:00
658,47.41828,8.87539,737.0,2002-08-01 00:00:00
659,47.34491,8.70827,452.0,2002-05-19 00:00:00
660,47.33943,8.74864,523.0,2002-05-19 00:00:00
661,47.33258,8.72812,447.5,2002-05-19 00:00:00
662,47.34494,8.70823,451.0,2002-05-19 00:00:00
663,47.34491,8.70826,452.0,2002-05-19 00:00:00
664,47.33943,8.74862,523.0,2002-05-19 00:00:00
665,47.33246,8.72794,446.0,2002-05-19 00:00:00
666,47.34873,8.71767,464.0,2002-05-19 00:00:00
667,46.80779,7.58006,545.0,2002-01-01 00:00:00
668,46.84822,7.55766,528.5,2002-01-01 00:00:00
669,46.80342,7.58009,544.0,2002-01-01 00:00:00
670,46.88974,7.53242,517.5,2002-01-01 00:00:00
671,46.80811,7.58002,545.0,2002-01-01 00:00:00
672,46.80382,7.58005,544.0,2002-01-01 00:00:00
673,46.8068,7.58003,544.0,2002-01-01 00:00:00
674,46.85561,7.55527,525.0,2002-01-01 00:00:00
675,46.80382,7.58003,544.0,2002-01-01 00:00:00
676,46.84762,7.55746,529.0,2002-01-01 00:00:00
677,46.80349,7.58008,544.0,2002-01-01 00:00:00
678,46.80651,7.57999,544.0,2002-01-01 00:00:00
679,47.16687,6.86622,610.0,2002-07-01 00:00:00
680,46.8064,7.57995,544.0,2002-01-01 00:00:00
681,46.80469,7.5798,544.0,2002-01-01 00:00:00
682,46.89588,7.52682,515.0,2002-01-01 00:00:00
683,46.80624,7.57973,544.0,2002-01-01 00:00:00
684,46.80784,7.57993,545.0,2002-01-01 00:00:00
685,46.80424,7.57988,544.0,2002-01-01 00:00:00
686,46.80763,7.57989,545.0,2002-01-01 00:00:00
688,47.30183,7.29715,660.0,2002-07-28 00:00:00
690,47.35336,8.71687,463.0,2002-05-19 00:00:00
692,46.15276,8.78938,198.0,2002-06-22 00:00:00
693,46.91584,7.81474,900.0,2002-01-01 00:00:00
694,46.22321,6.1021,416.0,2002-10-03 00:00:00
695,46.25473,6.28945,470.0,2002-07-03 00:00:00
696,47.46446,8.99107,531.0,2002-09-15 00:00:00
697,47.4644,8.99067,529.0,2002-09-15 00:00:00
698,47.33246,8.72794,448.0,2002-05-19 00:00:00
699,47.33943,8.74862,523.0,2002-05-19 00:00:00
700,47.36248,8.74621,560.0,2002-01-01 00:00:00
701,47.33274,8.71141,440.5,2002-05-19 00:00:00
702,47.37275,8.71303,479.0,2002-05-19 00:00:00
703,47.34762,8.71971,465.0,2002-05-19 00:00:00
704,47.35387,8.69173,449.5,2002-05-19 00:00:00
705,47.33964,8.74962,527.0,2002-05-19 00:00:00
706,47.34483,8.71593,463.5,2002-05-19 00:00:00
